OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_252,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
OTU_253,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,,
OTU_254,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
OTU_255,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Candidatus Solibacter,
OTU_256,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Candidatus Solibacter,
OTU_257,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,,
OTU_258,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,
OTU_259,Bacteria,Chloroflexi,Anaerolineae,SBR1031,oc28,,
OTU_260,Bacteria,Gemmatimonadetes,Gemmatimonadetes,N1423WL,,,
OTU_261,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,EB1017,,
OTU_262,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,,
OTU_263,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
OTU_264,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
OTU_265,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,,
OTU_266,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,
OTU_267,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU_268,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
OTU_269,Archaea,Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,gargensis
OTU_270,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,
OTU_271,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,
OTU_272,Bacteria,Chloroflexi,Anaerolineae,CFB-26,,,
OTU_273,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],,
OTU_274,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
OTU_275,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,,
OTU_276,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Labrys,
OTU_277,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
OTU_278,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Ellin5290,,,
OTU_279,Bacteria,Gemmatimonadetes,Gemm-1,,,,
OTU_280,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
OTU_281,Bacteria,Chloroflexi,Thermomicrobia,JG30-KF-CM45,,,
OTU_282,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,
OTU_283,Archaea,Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,SCA1170
OTU_284,Bacteria,WS3,PRR-12,Sediment-1,,,
OTU_285,Bacteria,Proteobacteria,Betaproteobacteria,MND1,,,
OTU_286,Archaea,Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,gargensis
OTU_287,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],DA101,
OTU_288,Bacteria,Proteobacteria,Betaproteobacteria,,,,
OTU_289,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
OTU_290,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Skermanella,
OTU_291,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,,
